# production-callers.tsv — the KNOWN population of `pub fn`s with no production caller.
# Written by scripts/check-production-callers.py --bless. See that file's header for what
# UNCALLED and THEATRE mean, for what this census cannot see, and for the row KEY.
#
# A row is keyed on (kind, name, definition_file) — the LINE column is informational and
# is not part of the key. The check goes red BOTH ways: a guard with no row is FRESH, a
# row with no guard is STALE (it acquired a caller, or was deleted/renamed/moved).
#
# kind	name	definition_file	definition_line	test_call_sites
THEATRE	verify_rotated_caveat_coverage	circuit/src/effect_vm/verify.rs	679	9
THEATRE	verify_route_membership	cell/src/interface.rs	435	11
THEATRE	verify_routes_commitment	blocklace/src/constitution.rs	745	4
THEATRE	verify_selective_disclosure	sdk/src/verify.rs	245	3
UNCALLED	verify_selective_presentation	sdk/src/verify.rs	323	0
THEATRE	verify_settlement	sdk/src/fhegg.rs	78	6
THEATRE	verify_shipment_manifest	starbridge-apps/supply-chain-provenance/src/derived.rs	128	3
THEATRE	verify_shrink_proof	circuit-prove/src/apex_shrink.rs	301	8
THEATRE	verify_slot_opening	wasm/src/bindings_lightclient.rs	823	2
THEATRE	verify_sortition	federation/src/vrf.rs	527	7
THEATRE	verify_staged_exact_v3_postcard	circuit-prove/src/faithful_note_spend_exact_v3.rs	520	5
THEATRE	verify_staged_exact_v3_zk	circuit-prove/src/faithful_note_spend_exact_v3.rs	506	3
THEATRE	verify_stripe_deco_stark	deco-prove/src/prover.rs	168	4
UNCALLED	verify_substrate_postcard	circuit-prove/src/shielded_whole_note_swap_substrate.rs	1049	0
THEATRE	verify_tally	dregg-governance/src/lib.rs	472	3
UNCALLED	verify_temporal	intent/src/predicate.rs	253	0
UNCALLED	verify_temporal_predicate_p3	circuit/src/temporal_predicate_air.rs	63	0
THEATRE	verify_tick	sdk/src/beacon_cell.rs	337	4
UNCALLED	verify_trace_with_request	trace/src/verify.rs	14	0
UNCALLED	verify_tug_play_on_device	wasm/src/bindings_multiway_tug.rs	183	0
THEATRE	verify_turn_in_batch	blocklace/src/delegation.rs	299	3
THEATRE	verify_turn_sign	turn/src/fast_path.rs	562	4
THEATRE	verify_uniform_allocation_optimizer_worker_result	fhir/src/optimizer_protocol.rs	624	5
THEATRE	verify_update_commitment_signature	sandstorm-bridge/src/grain.rs	180	3
UNCALLED	verify_validated_ivc_proof	sdk/src/verify.rs	567	0
THEATRE	verify_value_link	cell-crypto/src/value_commitment.rs	1645	3
THEATRE	verify_via_receipt_chain	federation/src/types.rs	448	3
THEATRE	verify_via_receipt_chain_strict	federation/src/types.rs	484	9
THEATRE	verify_whole_image_fold	circuit/src/whole_image_fold.rs	351	4
THEATRE	verify_whole_image_fold_bound	circuit/src/whole_image_fold.rs	479	3
THEATRE	verify_whole_image_fold_bound_mem	circuit/src/whole_image_fold.rs	590	3
THEATRE	verify_wide_binding_compatibility_v4	circuit-prove/src/shielded_exact_apex_v4.rs	258	2
THEATRE	verify_wide_turn_chain_recursive	circuit-prove/src/ivc_turn_chain.rs	3053	1
THEATRE	verify_windows	dregg-query/src/windows.rs	136	10
UNCALLED	verify_with	federation/src/threshold.rs	340	0
UNCALLED	verify_with_proofs	circuit/src/block_conservation.rs	302	0
THEATRE	verify_withdrawal_proof_locally	chain/src/withdraw.rs	341	1
THEATRE	verify_witnessed_qa	dregg-agent/src/agent.rs	1178	5
THEATRE	verify_world_bound_to_winner	dungeon-on-dregg/src/collective.rs	614	1
THEATRE	verify_wrapped_proof	bridge/src/mina.rs	213	2
THEATRE	verify_zero_kkt_qp	fhegg-solver/src/qp_strict.rs	161	12
THEATRE	verify_zk_leaf_leg_link	cell-crypto/src/value_link_zk.rs	491	3
